Title;Publisher
Journal of King Abdulaziz University, Marine Science;King Abdulaziz University Scientific Publishing Center
Journal of Print and Media Technology Research;Iarigai
Journal of the Dow University of Health Sciences;Dow University of Health Sciences
Journal of the Japan Society for Technology of Plasticity;Japan Society for Technology of Plasticity
Journal of the Ottoman and Turkish Studies Association;Indiana University Press
Judicature;American Judicature Society
Keikinzoku Yosetsu/Journal of Light Metal Welding and Construction;Keikinzoku Gakkai/Japan Institute of Light Metals
Latomus;Societe d'Etudes Latines de Bruxelles
Lenguas Modernas;Universidad de Chile
Literature-Film Quarterly;Salisbury State University
Llull;Sociedad Espanola de Historia de las Ciencias y de las Tecnicas
Local Population Studies;Local Population Studies Society
Middle East Journal of Rehabilitation and Health Studies;Semnan University of Medical Sciences
Mitologias Hoy;Universitat Autonoma de Barcelona
Moenia;Universidade de Santiago de Compostela
Moving Image;University of Minnesota
Narrative inquiry in bioethics;Johns Hopkins University Press
Nephrologe;Springer Verlag
Nordic Theatre Studies;Munksgaard Denmark
Onkologie (Czech Republic);SOLEN S.R.O.
Oriente Moderno;Brill Academic Publishers
Peritia;Brepols Publishers
Perseitas;Universidad Catolica Luis Amigo
Philip Roth Studies;Purdue University Press
Philosophy Today;Philosophy Documentation Center
Politique Africaine;Politique Africaine
Portal;Croatian Conservation Institute
Practica Otologica;Society of Practical Otolaryngology
Praticien en Anesthesie Reanimation;Elsevier Masson s.r.l.
Preternature;Penn State University Press
Recherches sur Diderot et sur L'Encyclopedie;Societe Diderot
Religious Studies Review;Wiley-Blackwell
Revista Archai;Imprensa da Universidade de Coimbra
Revista de historia;Universidade de Sao Paulo, Faculdade de Filosofia
Revista Latinoamericana de Quimica;
Revista Pesquisa em Fisioterapia;BAHIANA - School of Medicine and Public Health
Revue des Etudes Juives;Peeters Publishers
Russian Bulletin of Obstetrician-Gynecologist;Media Sphera Publishing Group
Russian Journal of Anesthesiology and Reanimatology /Anesteziologiya i Reanimatologiya;Media Sphera Publishing Group
Russian Review;Wiley-Blackwell Publishing Ltd
Sapporo Medical Journal;Cancer Research Institute, Sapporo Medical University
Sealing Technology;Elsevier BV
Shagi/ Steps;Russian Presidential Academy of National Economy and Public Administration
SHAW;Penn State University Press
Signo y Pensamiento;Pontificia Universidad Javeriana
Soins Pediatrie/Puericulture;Elsevier Masson s.r.l.
Sovremennaya Revmatologiya;Ima-Press Publishing House
Sprachwissenschaft;Universitaetsverlag Winter GmbH
Stasis;European University at Saint-Petersburg
Strategic Direction;Emerald Group Publishing Ltd.
Studia Antiqua et Archaeologica;Alexandru Ioan Cuza - University of Iasi
Studies in Church History;Cambridge University Press
Studies in the History of Gardens and Designed Landscapes;Taylor and Francis Ltd.
Sun Yat-sen Journal of Humanities;National Sun Yat-sen University, College of Liberal Arts
Surgical Chronicles;Surgical Society of Northern Greece
Synergies Europe;GERFLINT (Groupe d'Etudes et de Recherches pour le Francais Langue Internationale)
Texas Journal of Science;Texas Academy of Science
Tierarztliche Umschau;Terra Verlag GmbH
Transactions of the Institute of Indian Geographers;Institute of Indian Geographers
Trauma und Berufskrankheit;Springer Verlag
Turkiye Klinikleri Journal of Medical Sciences;Turkiye Klinikleri Journal of Medical Sciences
Verba;Universidade de Santiago de Compostela
Vniversitas;Pontificia Universidad Javeriana
Voprosy kurortologii, fizioterapii, i lechebnoi fizicheskoi kultury;Izdatel'stvo Meditsina
Wallace Stevens Journal;Johns Hopkins University Press
Welding and Cutting;Deutscher Verlag fur Schweisstechnik GmbH
Western Historical Quarterly;Oxford University Press
Zeichen;Signum Verlag
Acta Academica;Sun Media Corporation
African Journal of Legal Studies;Brill Academic Publishers
Annual Technical Conference - ANTEC, Conference Proceedings;Society of Plastics Engineers
Anthropological Linguistics;Indiana University Anthropological Linguistics
Anuario Filosofico;Servicio de Publicaciones de la Universidad De Navarra
ArcHistoR;Universita Mediterranea di Reggio Calabria
ARTMargins;MIT Press Journals
ASHA Leader;American Speech-Language-Hearing Association (ASHA)
Atlantic World;Brill Academic Publishers
Austrian Journal of Clinical Endocrinology and Metabolism;Krause und Pachernegg GmbH
Balkan Studies Library;Brill Academic Publishers
Behavioral and Social Sciences Librarian;Routledge
Beitrage zur Geschichte der Deutschen Sprache und Literatur;Walter de Gruyter GmbH
Bell Labs Technical Journal;"John Wiley &amp; Sons Inc."
Biblische Notizen;Verlag Herder GmbH und Co. KG
Caracol;Universidade De Sao Paulo
CFI, Ceramic Forum International/Berichte der DKG (Deutsche Keramische Gesellschaft);Goeller Verlag GmbH
China Oncology;Editorial Office of China Oncology
Chinese Journal of Neuromedicine;Chinese Medical Journals Publishing House Co.Ltd
Codrul Cosminului;Stefan cel Mare University of Suceava
Colloquia Humanistica;Institute of Slavic Studies, Polish Academy of Sciences
Comparative Critical Studies;Edinburgh University Press
Cultural History;Edinburgh University Press
Droit et Societe;Editions Juridiques Associees
Early Popular Visual Culture;Routledge
Echa Przeszlosci;University of Warmia and Mazury in Olsztyn
Edinburgh Law Review;Edinburgh University Press
Education and Culture;Purdue University Press
Eksperimental'naya i Klinicheskaya Gastroenterologiya;Global Media Tekhnologii
Engineering and Mining Journal;Mining Media
Entomotropica;Sociedad Venezolana de Entomologia
Estetika : The Central European Journal of Aesthetics;Charles University, Faculty of Arts
Estudios de Teoria Literaria;Universidad Nacional de Mar del Plata
Estudios Irlandeses;
Euroheat and Power (English Edition);Verlags und Wirtschaftsges. der Elektrizitatswerke
European Journal of Korean Studies;British Association for Korean Studies
Farmaceutski Glasnik;Hrvatsko Farmaceutsko Drustvo
Food and History;Brepols Publishers
Fudan University Journal of Medical Sciences;Fudan University
Ginecologia y Obstetricia de Mexico;Asociacion Mexicana de Ginecologia y Obstetricia
Handbook of Statistics;Elsevier
Haseki Tip Bulteni;Galenos Yayinevi
Hedianzixue Yu Tance Jishu/Nuclear Electronics and Detection Technology;Atomic Energy Press
Henry James Review;Johns Hopkins University Press
Hermes;Franz Steiner Verlag Wiesbaden GmbH
Historiallinen aikakauskirja;Suomen historiallinen seura
HIV Nursing;Mediscript Ltd
Icelandic Agricultural Sciences;Agricultural University of Iceland
International Journal of Asia Digital Art and Design;Asia Digital Art and Design Association
International Journal of Interdisciplinary Organizational Studies;Common Ground Research Networks
International Journal of Low Radiation;Inderscience Enterprises Ltd
International Journal of Pedagogy and Curriculum;Common Ground Research Networks
IPPTA: Quarterly Journal of Indian Pulp and Paper Technical Association;Indian Pulp and Paper Technical Association
Iranian Journal of Geophysics;Iranian Geophyisical Society
Japanese Journal of Crop Science;Crop Science Society of Japan
Journal of African Union Studies;"Adonis &amp; Abbey Publishers Ltd."
Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior;University of Nevada
Journal of Engineering Technology;American Society for Engineering Education
Journal of Global Business and Technology;Global Business and Technology Association, Inc.
Journal of Iberian and Latin American Research;Routledge
Journal of Land and Development;University of Baltimore School of Law
Journal of Language Teaching and Research;Academy Publisher
Journal of Otolaryngology of Japan;Oto-Rhino-Laryngological Society of Japan Inc.
Journal of Scottish Philosophy;Edinburgh University Press
Journal of the New England Water Works Association;New England Water Works Association
Korean Journal of Otorhinolaryngology-Head and Neck Surgery;Korean Society of Otolaryngology
Langages;Armand Colin Editeur
Law and Economics Yearly Review;Queen Mary University of London
Le Mali medical;Faculte de Medecine, de Pharmacie et d'Odonto-Stomatologie
Leo Baeck Institute Yearbook;Oxford University Press
Libri Oncologici;University Hospital for Tumors
L.O.G.O.S. Interdisziplinair;Urban und Fischer Verlag Jena
Medica Jadertina;Opca Bolnica Zadar
Metascience;Springer Nature
Mexican Studies/Estudios Mexicanos;University of California Press
Moderna Arhivistika;Maribor Provincial Archives
Music Reference Services Quarterly;Routledge
Nachrichten aus der Chemie;"Walter de Gruyter GmbH &amp; Co. KG"
Nag Hammadi and Manichaean Studies;Brill
New Theatre Quarterly;Cambridge University Press
NTT Technical Review;Nippon Telegraph and Telephone Corp.
Numen Book Series;Brill
Nursing Critical Care;Lippincott Williams and Wilkins Ltd.
Osmanli Arastirmalari - Journal of Ottoman Studies;ISAM, Turkish Religious Foundation Centre for Islamic Studies
Oud Holland;Brill Academic Publishers
Pennsylvania History;Penn State University Press
Philosophia Antiqua;Brill
Piel;Ediciones Doyma, S.L.
Przekladaniec;Jagiellonian University Press
Przestrzenie Teorii;Adam Mickiewicz University Press
Psychiatry, Psychotherapy and Clinical Psychology;
Publications of the English Goethe Society;Maney Publishing
Quaderns;Universitat Autonoma de Barcelona, Departament de Traduccio i d'Interpretacio
Quaestio;Brepols Publishers
Religio;Czech Association for the Study of Religions
Religion and Society in Central and Eastern Europe;International Study of Religion in Eastern and Central Europe Association
Review of International American Studies;
Revista Complutense de Historia de America;Universidad Complutense Madrid
Revista de Filosofia: Aurora;Pontificia Universidade Catolica Parana
Revista Lasallista de Investigacion;Corporacion Universitaria Lasallista
Revista Luna Azul;Universidad de Caldas
Revue de synthese / Centre international de synthese;Brill Academic Publishers
Revue du Praticien;Huveaux France
Ricerche di Storia dell Arte;Carocci Editore
Rivista Internazionale di Scienze Sociali;Universita Cattolica del Sacro Cuore
RUDN Journal of Russian History;RUDN University
SA Pharmaceutical Journal;Medpharm Publications
Scriblerian and the Kit-Cats;
Scripta Botanica Belgica;National Botanic Garden of Belgium
Scriptorium;
Seminar - A Journal of Germanic Studies;University of Toronto Press
Siglo XXI, Literatura y Cultura Espanolas;Universidad de Valladolid
Slovene;Institute for Slavic Studies of the Russian Academy of Sciences
South Central Review;Johns Hopkins University Press
Special Report - National Research Council, Transportation Research Board;US National Research Council
Spermova;
Spirale;Editions Eres
Spool;TU Delft Open
Studia Universitatis Vasile Goldis Arad, Seria Stiintele Vietii;Vasile Goldis Western University of Arad
Studien und Texte zur Geistesgeschichte des Mittelalters;Brill
Studies in Law Politics and Society;Emerald Group Publishing Ltd.
Studies in South Asian Film and Media;Intellect Ltd.
Studies in Systems, Decision and Control;Springer International Publishing AG
Studi Slavistici;Firenze University Press
Synthesis Lectures on Biomedical Engineering;Morgan and Claypool Publishers
Toraibarojisuto/Journal of Japanese Society of Tribologists;Japanese Society of Tribologists
Torres de Lucca;Universidad Complutense Madrid
"Tort trial &amp; insurance practice law journal";American Bar Association
Trends in Biomaterials and Artificial Organs;Society for Biomaterials and Artificial Organs - India
Tulsa Studies in Womens Literature;University of Tulsa
University of Pittsburgh Law Review;University Library System, University of Pittsburgh
U.S. Geological Survey Data Series;U.S. Geological Survey
Viator - Medieval and Renaissance Studies;Brepols Publishers
Whitehall Papers;Taylor and Francis Ltd.
World Scientific Series in Finance;World Scientific Publishing Co. Pte Ltd
Yearbook of Balkan and Baltic Studies;ELM Scholarly Press
Yearbook of International Humanitarian Law;Cambridge University Press
Yeni Symposium;University of Istanbul
Zeitschrift fur Bibliothekswesen und Bibliographie;Vittorio Klostermann
Actuel Marx;Presses Universitaires de France
American Periodicals;Ohio State University Press
America sin Nombre;Universidad de Alicante
Annali di Storia delle Universita Italiane;Societa Editrice Il Mulino
Annuario della Scuola di Archeologica Italiana di Atene e delle missioni italiane in Oriente;Giorgio Bretschneider
Anuario de Estudios Filologicos;Universidad de Extremadura
